,Local_Authority_(District),county,country_name,region_name
106672,0,Antrim,Northern Ireland,Northern ireland
106676,0,Ards,Northern Ireland,Northern ireland
106685,0,Ballymena,Northern Ireland,Northern ireland
106694,0,Ballymoney,Northern Ireland,Northern ireland
106695,0,Banbridge,Northern Ireland,Northern ireland
106704,0,Belfast,Northern Ireland,Northern ireland
106900,0,Carrickfergus,Northern Ireland,Northern ireland
106901,0,Castlereagh,Northern Ireland,Northern ireland
106905,0,Coleraine,Northern Ireland,Northern ireland
106921,0,Cookstown,Northern Ireland,Northern ireland
106922,0,County Armagh,Northern Ireland,Northern ireland
106926,0,County Fermanagh,Northern Ireland,Northern ireland
106942,0,Craigavon,Northern Ireland,Northern ireland
106978,0,Derry,Northern Ireland,Northern ireland
106982,0,Down,Northern Ireland,Northern ireland
106991,0,Dungannon,Northern Ireland,Northern ireland
107040,0,Larne,Northern Ireland,Northern ireland
107041,0,Limavady,Northern Ireland,Northern ireland
107042,0,Lisburn,Northern Ireland,Northern ireland
107058,0,Magherafelt,Northern Ireland,Northern ireland
107062,0,Moyle,Northern Ireland,Northern ireland
107066,0,Newry and Mourne,Northern Ireland,Northern ireland
107070,0,Newtownabbey,Northern Ireland,Northern ireland
107079,0,North Down,Northern Ireland,Northern ireland
107088,0,Omagh,Northern Ireland,Northern ireland
107092,0,Strabane,Northern Ireland,Northern ireland
107096,910,Aberdeen City,Scotland,Scotland
107217,911,Aberdeenshire,Scotland,Scotland
107541,912,Angus,Scotland,Scotland
107557,913,Argyll and Bute,Scotland,Scotland
109861,0,City of Edinburgh,Scotland,Scotland
110261,915,Clackmannanshire,Scotland,Scotland
110286,917,Dumfries and Galloway,Scotland,Scotland
110511,918,Dundee City,Scotland,Scotland
110536,919,East Ayrshire,Scotland,Scotland
110600,920,East Dunbartonshire,Scotland,Scotland
110616,921,East Lothian,Scotland,Scotland
110737,922,East Renfrewshire,Scotland,Scotland
110753,0,Eilean Siar,Scotland,Scotland
110834,924,Falkirk,Scotland,Scotland
110883,925,Fife,Scotland,Scotland
111139,926,Glasgow City,Scotland,Scotland
111923,927,Highland,Scotland,Scotland
118484,928,Inverclyde,Scotland,Scotland
118520,0,Inverness-shire,Scotland,Scotland
118521,929,Midlothian,Scotland,Scotland
118602,930,Moray,Scotland,Scotland
118666,931,North Ayrshire,Scotland,Scotland
118922,932,North Lanarkshire,Scotland,Scotland
119059,933,Orkney Islands,Scotland,Scotland
119068,934,Perth and Kinross,Scotland,Scotland
119429,935,Renfrewshire,Scotland,Scotland
119573,936,Shetland Islands,Scotland,Scotland
119582,937,South Ayrshire,Scotland,Scotland
119631,938,South Lanarkshire,Scotland,Scotland
119731,939,Stirling,Scotland,Scotland
119852,0,The Scottish Borders,Scotland,Scotland
120176,916,West Dunbartonshire,Scotland,Scotland
120192,940,West Lothian,Scotland,Scotland
